fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western
titles01/tt0012349,tt0012349,Der Vagabund und das Kind (1921),der vagabund und das kind,http://www.imdb.com/title/tt0012349/,8.4,40550,3240,1921,video.movie,1,0,19,96,85,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0015864,tt0015864,Goldrausch (1925),goldrausch,http://www.imdb.com/title/tt0015864/,8.3,45319,5700,1925,video.movie,2,1,35,110,122,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0017136,tt0017136,Metropolis (1927),metropolis,http://www.imdb.com/title/tt0017136/,8.4,81007,9180,1927,video.movie,3,4,67,428,376,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
titles01/tt0017925,tt0017925,Der General (1926),der general,http://www.imdb.com/title/tt0017925/,8.3,37521,6420,1926,video.movie,1,1,53,123,219,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0021749,tt0021749,Lichter der Großstadt (1931),lichter der gro stadt,http://www.imdb.com/title/tt0021749/,8.7,70057,5220,1931,video.movie,2,0,38,187,186,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles01/tt0022100,tt0022100,M (1931),m,http://www.imdb.com/title/tt0022100/,8.5,73726,7020,1931,video.movie,1,0,28,4,254,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles01/tt0025316,tt0025316,Es geschah in einer Nacht (1934),es geschah in einer nacht,http://www.imdb.com/title/tt0025316/,8.3,46503,6300,1934,video.movie,4,1,40,183,211,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles01/tt0027977,tt0027977,Moderne Zeiten (1936),moderne zeiten,http://www.imdb.com/title/tt0027977/,8.6,90847,5220,1936,video.movie,3,1,44,27,180,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0031381,tt0031381,Vom Winde verweht (1939),vom winde verweht,http://www.imdb.com/title/tt0031381/,8.2,160414,14280,1939,video.movie,10,6,143,1263,653,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
titles01/tt0031679,tt0031679,Mr. Smith geht nach Washington (1939),mr smith geht nach washington,http://www.imdb.com/title/tt0031679/,8.4,58169,7740,1939,video.movie,4,10,34,110,226,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0032138,tt0032138,Der Zauberer von Oz (1939),der zauberer von oz,http://www.imdb.com/title/tt0032138/,8.1,209506,6120,1939,video.movie,6,12,126,2363,477,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0032551,tt0032551,Früchte des Zorns (1940),fr chte des zorns,http://www.imdb.com/title/tt0032551/,8.2,45737,7740,1940,video.movie,6,5,20,135,257,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0032553,tt0032553,Der große Diktator (1940),der gro e diktator,http://www.imdb.com/title/tt0032553/,8.5,87969,7500,1940,video.movie,5,1,37,181,173,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles01/tt0032976,tt0032976,Rebecca (1940),rebecca,http://www.imdb.com/title/tt0032976/,8.3,65670,7800,1940,video.movie,2,9,47,328,241,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
titles01/tt0033467,tt0033467,Citizen Kane (1941),citizen kane,http://www.imdb.com/title/tt0033467/,8.5,228617,7140,1941,video.movie,7,10,103,1439,1101,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
titles01/tt0033870,tt0033870,Die Spur des Falken (1941),die spur des falken,http://www.imdb.com/title/tt0033870/,8.2,86012,6000,1941,video.movie,1,0,67,332,294,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0034583,tt0034583,Casablanca (1942),casablanca,http://www.imdb.com/title/tt0034583/,8.6,296802,6120,1942,video.movie,5,6,153,382,960,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
titles01/tt0036775,tt0036775,Frau ohne Gewissen (1944),frau ohne gewissen,http://www.imdb.com/title/tt0036775/,8.5,71266,6420,1944,video.movie,3,0,43,231,260,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0036868,tt0036868,Die besten Jahre unseres Lebens (1946),die besten jahre unseres lebens,http://www.imdb.com/title/tt0036868/,8.3,30002,10320,1946,video.movie,13,1,15,129,218,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
titles01/tt0038355,tt0038355,Tote schlafen fest (1946),tote schlafen fest,http://www.imdb.com/title/tt0038355/,8.1,50020,6840,1946,video.movie,1,0,52,171,215,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
titles01/tt0038650,tt0038650,It's a Wonderful Life (1946),it s a wonderful life,http://www.imdb.com/title/tt0038650/,8.7,197764,7800,1946,video.movie,6,0,65,531,626,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0038787,tt0038787,Berüchtigt (1946),ber chtigt,http://www.imdb.com/title/tt0038787/,8.2,56306,6060,1946,video.movie,2,1,56,102,260,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles01/tt0040522,tt0040522,Fahrraddiebe (1948),fahrraddiebe,http://www.imdb.com/title/tt0040522/,8.4,63797,5280,1948,video.movie,17,0,17,239,202,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0040746,tt0040746,Cocktail für eine Leiche (1948),cocktail f r eine leiche,http://www.imdb.com/title/tt0040746/,8.1,72370,4800,1948,video.movie,0,0,42,199,283,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles01/tt0040897,tt0040897,Der Schatz der Sierra Madre (1948),der schatz der sierra madre,http://www.imdb.com/title/tt0040897/,8.4,59298,7560,1948,video.movie,12,4,41,149,190,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0041959,tt0041959,Der dritte Mann (1949),der dritte mann,http://www.imdb.com/title/tt0041959/,8.4,85964,6240,1949,video.movie,3,4,62,338,364,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
titles01/tt0042192,tt0042192,Alles über Eva (1950),alles ber eva,http://www.imdb.com/title/tt0042192/,8.4,61738,8280,1950,video.movie,15,15,42,253,276,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0042876,tt0042876,Rashomon (1950),rashomon,http://www.imdb.com/title/tt0042876/,8.4,74219,5280,1950,video.movie,9,2,19,102,238,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0043014,tt0043014,Boulevard der Dämmerung (1950),boulevard der d mmerung,http://www.imdb.com/title/tt0043014/,8.6,102072,6600,1950,video.movie,17,13,58,1033,394,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0044079,tt0044079,Der Fremde im Zug (1951),der fremde im zug,http://www.imdb.com/title/tt0044079/,8.1,69387,5520,1951,video.movie,1,1,42,326,245,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles01/tt0044706,tt0044706,Zwölf Uhr mittags (1952),zw lf uhr mittags,http://www.imdb.com/title/tt0044706/,8.2,60817,5100,1952,video.movie,12,10,48,361,309,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles01/tt0044741,tt0044741,Ikiru - Einmal richtig leben (1952),ikiru einmal richtig leben,http://www.imdb.com/title/tt0044741/,8.4,29478,8580,1952,video.movie,5,0,13,57,136,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0045152,tt0045152,Du sollst mein Glücksstern sein (1952),du sollst mein gl cksstern sein,http://www.imdb.com/title/tt0045152/,8.4,108115,6180,1952,video.movie,4,7,61,333,441,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
titles01/tt0046250,tt0046250,Ein Herz und eine Krone (1953),ein herz und eine krone,http://www.imdb.com/title/tt0046250/,8.1,69739,7080,1953,video.movie,7,14,50,136,193,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles01/tt0046359,tt0046359,Stalag 17 (1953),stalag,http://www.imdb.com/title/tt0046359/,8.1,36013,6960,1953,video.movie,1,4,23,67,130,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles01/tt0046911,tt0046911,Die Teuflischen (1955),die teuflischen,http://www.imdb.com/title/tt0046911/,8.3,29309,6840,1955,video.movie,4,0,20,77,135,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
titles01/tt0046912,tt0046912,Bei Anruf Mord (1954),bei anruf mord,http://www.imdb.com/title/tt0046912/,8.2,72579,6300,1954,video.movie,3,2,51,232,223,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles01/tt0047296,tt0047296,Die Faust im Nacken (1954),die faust im nacken,http://www.imdb.com/title/tt0047296/,8.3,74023,6480,1954,video.movie,21,7,45,352,255,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0047396,tt0047396,Das Fenster zum Hof (1954),das fenster zum hof,http://www.imdb.com/title/tt0047396/,8.6,229323,6720,1954,video.movie,6,6,98,711,580,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
titles01/tt0047478,tt0047478,Die sieben Samurai (1954),die sieben samurai,http://www.imdb.com/title/tt0047478/,8.8,172690,12420,1954,video.movie,4,5,33,576,548,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0047528,tt0047528,Das Lied der Straße (1954),das lied der stra e,http://www.imdb.com/title/tt0047528/,8.2,35143,6480,1954,video.movie,10,4,25,108,108,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0048424,tt0048424,Die Nacht des Jägers (1955),die nacht des j gers,http://www.imdb.com/title/tt0048424/,8.1,47739,5580,1955,video.movie,1,0,42,152,322,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles01/tt0049406,tt0049406,Killing (1956),killing,http://www.imdb.com/title/tt0049406/,8.1,47740,5100,1956,video.movie,0,0,21,59,304,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles01/tt0050083,tt0050083,Die zwölf Geschworenen (1957),die zw lf geschworenen,http://www.imdb.com/title/tt0050083/,8.9,293725,5760,1957,video.movie,16,6,31,68,726,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0050212,tt0050212,Die Brücke am Kwai (1957),die br cke am kwai,http://www.imdb.com/title/tt0050212/,8.3,109972,9660,1957,video.movie,24,5,59,160,243,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles01/tt0050825,tt0050825,Wege zum Ruhm (1957),wege zum ruhm,http://www.imdb.com/title/tt0050825/,8.5,84945,5280,1957,video.movie,3,2,26,208,313,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles01/tt0050976,tt0050976,Das siebente Siegel (1957),das siebente siegel,http://www.imdb.com/title/tt0050976/,8.3,80684,5760,1957,video.movie,7,1,28,193,236,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0050986,tt0050986,Wilde Erdbeeren (1957),wilde erdbeeren,http://www.imdb.com/title/tt0050986/,8.3,45457,5460,1957,video.movie,12,2,29,107,130,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0051201,tt0051201,Zeugin der Anklage (1957),zeugin der anklage,http://www.imdb.com/title/tt0051201/,8.5,40385,6960,1957,video.movie,3,8,23,32,172,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
