fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western
titles01/tt0052311,tt0052311,Im Zeichen des Bösen (1958),im zeichen des b sen,http://www.imdb.com/title/tt0052311/,8.2,55474,5700,1958,video.movie,3,1,28,211,245,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles01/tt0052357,tt0052357,Vertigo - Aus dem Reich der Toten (1958),vertigo aus dem reich der toten,http://www.imdb.com/title/tt0052357/,8.5,176267,7680,1958,video.movie,6,3,106,671,618,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
titles01/tt0052618,tt0052618,Ben Hur (1959),ben hur,http://www.imdb.com/title/tt0052618/,8.2,115402,12720,1959,video.movie,20,5,79,193,340,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0053125,tt0053125,Der unsichtbare Dritte (1959),der unsichtbare dritte,http://www.imdb.com/title/tt0053125/,8.5,166029,8160,1959,video.movie,7,4,85,644,466,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
titles01/tt0053198,tt0053198,Sie küßten und sie schlugen ihn (1959),sie k ten und sie schlugen ihn,http://www.imdb.com/title/tt0053198/,8.2,49996,5940,1959,video.movie,6,3,36,178,159,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0053291,tt0053291,Manche mögen's heiß (1959),manche m gen s hei,http://www.imdb.com/title/tt0053291/,8.4,129721,7200,1959,video.movie,12,8,96,546,329,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0053604,tt0053604,Das Appartement (1960),das appartement,http://www.imdb.com/title/tt0053604/,8.4,77601,7500,1960,video.movie,18,8,36,211,221,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles01/tt0053779,tt0053779,Das süße Leben (1960),das s e leben,http://www.imdb.com/title/tt0053779/,8.1,35788,10440,1960,video.movie,8,12,51,350,149,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0054215,tt0054215,Psycho (1960),psycho,http://www.imdb.com/title/tt0054215/,8.6,296676,6540,1960,video.movie,6,5,156,2059,885,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
titles01/tt0054997,tt0054997,Haie der Großstadt (1961),haie der gro stadt,http://www.imdb.com/title/tt0054997/,8.1,47138,8040,1961,video.movie,15,14,29,130,145,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
titles01/tt0055031,tt0055031,Das Urteil von Nürnberg (1961),das urteil von n rnberg,http://www.imdb.com/title/tt0055031/,8.3,28790,11160,1961,video.movie,17,21,30,98,156,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles01/tt0055630,tt0055630,Die Leibwache (1961),die leibwache,http://www.imdb.com/title/tt0055630/,8.4,53475,6600,1961,video.movie,4,1,23,144,139,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0056172,tt0056172,Lawrence von Arabien (1962),lawrence von arabien,http://www.imdb.com/title/tt0056172/,8.4,140727,12960,1962,video.movie,20,13,91,929,509,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0056592,tt0056592,Wer die Nachtigall stört (1962),wer die nachtigall st rt,http://www.imdb.com/title/tt0056592/,8.4,154978,7740,1962,video.movie,12,12,49,524,407,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
titles01/tt0056801,tt0056801,Achteinhalb (1963),achteinhalb,http://www.imdb.com/title/tt0056801/,8.2,58426,8280,1963,video.movie,14,8,41,22,202,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0057012,tt0057012,Dr. Seltsam\, oder wie ich lernte\, die Bombe zu lieben (1964),dr seltsam oder wie ich lernte die bombe zu lieben,http://www.imdb.com/title/tt0057012/,8.6,263157,5700,1964,video.movie,13,4,56,432,782,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles01/tt0057115,tt0057115,Gesprengte Ketten (1963),gesprengte ketten,http://www.imdb.com/title/tt0057115/,8.3,120161,10320,1963,video.movie,4,4,164,309,285,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0058461,tt0058461,Für eine Handvoll Dollar (1964),f r eine handvoll dollar,http://www.imdb.com/title/tt0058461/,8.1,92532,5940,1964,video.movie,1,1,71,206,215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles01/tt0058946,tt0058946,Schlacht um Algier (1966),schlacht um algier,http://www.imdb.com/title/tt0058946/,8.2,25876,7260,1966,video.movie,9,3,11,129,236,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0059578,tt0059578,Für ein paar Dollar mehr (1965),f r ein paar dollar mehr,http://www.imdb.com/title/tt0059578/,8.4,104305,7920,1965,video.movie,0,0,56,102,201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles01/tt0060196,tt0060196,Zwei glorreiche Halunken (1966),zwei glorreiche halunken,http://www.imdb.com/title/tt0060196/,9.0,354997,9660,1966,video.movie,1,0,189,11,684,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles01/tt0060827,tt0060827,Persona (1966),persona,http://www.imdb.com/title/tt0060827/,8.2,40639,5100,1966,video.movie,8,1,21,92,149,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0061184,tt0061184,Wer hat Angst vor Virginia Woolf? (1966),wer hat angst vor virginia woolf,http://www.imdb.com/title/tt0061184/,8.2,41330,7860,1966,video.movie,20,18,72,10,213,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0061512,tt0061512,Der Unbeugsame (1967),der unbeugsame,http://www.imdb.com/title/tt0061512/,8.2,90643,7560,1967,video.movie,5,6,42,229,249,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0061722,tt0061722,Die Reifeprüfung (1967),die reifepr fung,http://www.imdb.com/title/tt0061722/,8.1,161502,6360,1967,video.movie,20,13,94,329,573,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles01/tt0062622,tt0062622,2001: Odyssee im Weltraum (1968),odyssee im weltraum,http://www.imdb.com/title/tt0062622/,8.3,295641,9600,1968,video.movie,12,6,174,28,1568,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
titles01/tt0064115,tt0064115,Butch Cassidy und Sundance Kid (1969),butch cassidy und sundance kid,http://www.imdb.com/title/tt0064115/,8.2,111087,6600,1969,video.movie,18,12,51,508,281,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0064116,tt0064116,Spiel mir das Lied vom Tod (1968),spiel mir das lied vom tod,http://www.imdb.com/title/tt0064116/,8.7,158065,10500,1968,video.movie,5,4,61,277,518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles01/tt0066921,tt0066921,Uhrwerk Orange (1971),uhrwerk orange,http://www.imdb.com/title/tt0066921/,8.4,386962,8160,1971,video.movie,11,13,80,1076,1250,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
titles01/tt0068646,tt0068646,Der Pate (1972),der pate,http://www.imdb.com/title/tt0068646/,9.2,821410,10500,1972,video.movie,29,19,148,1307,1751,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0070735,tt0070735,Der Clou (1973),der clou,http://www.imdb.com/title/tt0070735/,8.4,127640,7740,1973,video.movie,10,6,67,275,224,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0071315,tt0071315,Chinatown (1974),chinatown,http://www.imdb.com/title/tt0071315/,8.3,159935,7800,1974,video.movie,20,22,73,547,412,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
titles01/tt0071562,tt0071562,Der Pate 2 (1974),der pate,http://www.imdb.com/title/tt0071562/,9.1,541351,12000,1974,video.movie,11,16,73,197,565,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0071853,tt0071853,Die Ritter der Kokosnuß (1975),die ritter der kokosnu,http://www.imdb.com/title/tt0071853/,8.4,284563,5460,1975,video.movie,0,0,48,260,613,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0072684,tt0072684,Barry Lyndon (1975),barry lyndon,http://www.imdb.com/title/tt0072684/,8.1,74677,11040,1975,video.movie,15,11,34,253,341,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0072890,tt0072890,Hundstage (1975),hundstage,http://www.imdb.com/title/tt0072890/,8.1,137696,7500,1975,video.movie,13,17,35,438,228,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0073195,tt0073195,Der weiße Hai (1975),der wei e hai,http://www.imdb.com/title/tt0073195/,8.1,290528,7440,1975,video.movie,9,14,95,1497,880,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
titles01/tt0073486,tt0073486,Einer flog über das Kuckucksnest (1975),einer flog ber das kuckucksnest,http://www.imdb.com/title/tt0073486/,8.8,492141,7980,1975,video.movie,30,12,59,397,675,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0074958,tt0074958,Network (1976),network,http://www.imdb.com/title/tt0074958/,8.2,75434,7260,1976,video.movie,22,19,49,366,295,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0075148,tt0075148,Rocky (1976),rocky,http://www.imdb.com/title/tt0075148/,8.1,243942,7140,1976,video.movie,17,20,105,1161,479,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
titles01/tt0075314,tt0075314,Taxi Driver (1976),taxi driver,http://www.imdb.com/title/tt0075314/,8.4,351181,6780,1976,video.movie,26,9,80,1830,768,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0075686,tt0075686,Der Stadtneurotiker (1977),der stadtneurotiker,http://www.imdb.com/title/tt0075686/,8.2,138617,5580,1977,video.movie,26,7,41,37,408,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles01/tt0076759,tt0076759,Krieg der Sterne (1977),krieg der sterne,http://www.imdb.com/title/tt0076759/,8.7,631839,7260,1977,video.movie,35,26,190,23660,1325,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0077416,tt0077416,Die durch die Hölle gehen (1978),die durch die h lle gehen,http://www.imdb.com/title/tt0077416/,8.2,174642,10920,1978,video.movie,21,17,39,488,949,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles01/tt0078748,tt0078748,Alien - Das unheimliche Wesen aus einer fremden Welt (1979),alien das unheimliche wesen aus einer fremden welt,http://www.imdb.com/title/tt0078748/,8.5,391737,7020,1979,video.movie,12,18,126,5671,991,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
titles01/tt0078788,tt0078788,Apocalypse Now (1979),apocalypse now,http://www.imdb.com/title/tt0078788/,8.5,333178,9180,1979,video.movie,17,30,76,1356,896,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles01/tt0079470,tt0079470,Das Leben des Brian (1979),das leben des brian,http://www.imdb.com/title/tt0079470/,8.2,198548,5640,1979,video.movie,0,0,46,275,298,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0079944,tt0079944,Stalker (1979),stalker,http://www.imdb.com/title/tt0079944/,8.2,47589,9780,1979,video.movie,2,1,15,34,253,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
titles01/tt0080678,tt0080678,Der Elefantenmensch (1980),der elefantenmensch,http://www.imdb.com/title/tt0080678/,8.3,120156,7440,1980,video.movie,10,13,36,242,325,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles01/tt0080684,tt0080684,Das Imperium schlägt zurück (1980),das imperium schl gt zur ck,http://www.imdb.com/title/tt0080684/,8.8,563252,7440,1980,video.movie,12,16,105,1774,764,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
titles01/tt0081398,tt0081398,Wie ein wilder Stier (1980),wie ein wilder stier,http://www.imdb.com/title/tt0081398/,8.3,172854,7740,1980,video.movie,26,19,51,1478,454,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
